Frames,Average Velocity,Standard deviation of velocity 
627,0.870559388,1.077587456
628,0.78847325,0.906545934
629,0.817845271,0.986949807
630,0.86603925,1.11802323
631,0.910029196,1.268301905
632,0.961652,1.407222109
633,1.042849644,1.500109395
634,1.091290208,1.523019411
635,1.079535617,1.539665682
636,1.069422962,1.53023251
637,1.040820191,1.521159949
638,0.991721979,1.508047795
639,0.976122532,1.514495297
640,1.010904787,1.521142556
641,0.994706833,1.527061198
642,0.985977672,1.474499763
643,0.891348349,1.418039414
644,0.829682811,1.34516835
645,0.771047878,1.298983583
646,0.880487735,1.215319831
647,0.837556178,1.242362026
648,0.836562878,1.281498969
649,0.929032514,1.276460481
650,0.972047073,1.256885714
651,0.947066537,1.227255572
652,0.86102296,1.233689967
653,0.849294139,1.28714503
654,0.916335796,1.365162833
655,0.964045553,1.45678138
656,0.988374633,1.509644253
657,1.027574327,1.510058411
658,0.990871245,1.506760877
659,0.980269857,1.502141356
660,1.001043755,1.53312791
661,1.007718761,1.618432016
662,1.052442653,1.715064776
663,1.056057878,1.776631377
664,0.97847294,1.806495525
665,1.02537286,1.77486434
666,1.03211104,1.76958667
667,1.0616992,1.745595322
668,1.03576398,1.679561266
669,1.01359348,1.566773922
670,0.923395246,1.494047098
671,0.80975731,1.424124071
672,0.811719469,1.38322792
673,0.817063286,1.300391058
674,0.913731563,1.21763599
675,0.846037917,1.216748118
676,0.864993625,1.3025784
677,0.907101292,1.367882955
678,0.915236458,1.304448935
679,0.884611688,1.216861552
680,0.874881143,1.32555747
681,1.004557184,1.512165824
682,1.067649286,1.677715868
683,1.0604903,1.715200202
684,1.062276496,1.645829803
685,1.036155306,1.591379753
686,1.080544929,1.48897682
687,1.045673965,1.449105189
688,1.001450651,1.478845052
689,1.031067349,1.5283089
690,1.118512045,1.545391163
691,1.173766449,1.536948406
692,1.157905857,1.554663046
693,1.169332592,1.568287093
694,1.1431059,1.574745996
695,1.11337676,1.531109175
696,1.02314082,1.488880931
697,0.902152981,1.454503738
698,0.997828827,1.327514529
699,1.031674392,1.222347244
700,0.93078998,1.117274085
701,0.9343345,1.065402461
702,0.988556,1.157368151
703,1.06207449,1.291008779
704,1.129519938,1.350904783
705,1.032200723,1.288610511
